scenario_id,scenario,strategy,strategy_label,run,avg_snr_db,min_snr_db,jam_snr_db,clean_snr_db,avg_sinr_db,avg_ber,avg_per,avg_throughput_kbps,avg_throughput_mbps,avg_spectral_efficiency_bps_hz,avg_jsr_db,hop_success,hop_success_rate_pct,response_latency_s,response_latency_ms,recovery_time_s,anti_jam_gain_db,thr_improvement_ratio,decision_count,action_change_count,final_comm_channel_idx,final_modulation,final_action_profile,final_coding_rate,final_spreading_factor,final_interleaving_depth,final_power_gain_db,final_sync_threshold_db,final_bandwidth_scale,final_route_diversity,overlap_ratio,post_jam_overlap_ratio,task_completed,task_progress,completion_time_s,available_channel_ratio,emergency_score
base_station_outage,基站退服,无干扰基线,Clean Baseline,47,25.1636,23.854,0.0,25.1636,25.1636,2.08e-06,0.008483499159326557,720.9077,0.7209,0.3605,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9073,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,48,25.1753,23.705,0.0,25.1753,25.1753,2.08e-06,0.008483499159326557,712.1365,0.7121,0.3561,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.2,0.9177,99.8134
base_station_outage,基站退服,无干扰基线,Clean Baseline,49,25.181,23.579,0.0,25.181,25.181,2.08e-06,0.008483499159326557,719.783,0.7198,0.3599,0.0,,,,,,0.0,1.0,0,0,2,16QAM,无干扰16QAM高速传输,0.78,1.0,1,16,8.0,1.0,1,0.0,0.0,1,1.0,1.32,0.9135,99.8134
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,0,12.6516,7.344,8.9511,23.9845,11.5208,5.49702267833538e-05,0.16437511509070082,231.8433,0.2318,0.1159,15.0,,,,,,5.3076,249.64,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5412,59.3963
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,1,12.7055,6.706,9.0105,24.0212,11.5747,5.635722579129527e-05,0.15351398729243557,230.7012,0.2307,0.1154,15.0,,,,,,5.9995,386.55,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.32,0.5408,59.5401
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,2,12.713,6.67,8.991,24.1116,11.5822,5.8205565776715675e-05,0.15712046411586372,235.7766,0.2358,0.1179,15.0,,,,,,6.043,484.97,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5385,59.8837
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,3,12.73,7.371,9.0305,24.0597,11.5992,4.9152800051790286e-05,0.1480133187295415,229.272,0.2293,0.1146,15.0,,,,,,5.359,202.86,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.32,0.5392,59.542
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,4,12.6696,7.198,8.9757,23.9822,11.5389,4.9713329188018976e-05,0.15115412720292665,230.5549,0.2306,0.1153,15.0,,,,,,5.4716,425.23,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5388,59.5798
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,5,12.639,6.528,8.9226,24.0206,11.5082,6.530927225315944e-05,0.17088323221080218,229.7989,0.2298,0.1149,15.0,,,,,,6.111,365.74,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5331,59.0828
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,6,12.6716,6.79,8.9697,24.0085,11.5408,5.840358702223278e-05,0.1636918144048501,231.815,0.2318,0.1159,15.0,,,,,,5.8816,338.82,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5277,59.409
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,7,12.6548,7.361,9.0196,23.7877,11.5241,4.9237556869575046e-05,0.14821635293801044,233.899,0.2339,0.1169,15.0,,,,,,5.2938,247.99,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.32,0.5438,59.9231
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,8,12.7679,7.323,9.0557,24.1367,11.6371,4.41846826201793e-05,0.13665271768432546,233.3197,0.2333,0.1167,15.0,,,,,,5.4449,210.3,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.54,60.1293
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,9,12.685,6.499,9.0259,23.8909,11.5542,5.813616050040814e-05,0.1534769426487282,232.5593,0.2326,0.1163,15.0,,,,,,6.186,359.09,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5404,59.6958
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,10,12.673,7.369,8.9953,23.9359,11.5422,5.2628400585038324e-05,0.15594021072684291,233.9668,0.234,0.117,15.0,,,,,,5.304,236.62,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5419,59.7589
base_station_outage,基站退服,受干扰无抗扰,Jammed No-AntiJam,11,12.7321,6.808,9.0644,23.9646,11.6013,5.566391181096327e-05,0.15082081281472784,230.4458,0.2304,0.1152,15.0,,,,,,5.9241,400.01,0,0,2,QPSK,常规QPSK,0.75,1.0,1,14,8.0,1.0,1,0.7538,1.0,1,1.0,1.2,0.5288,59.5781
